source,translated,question,answer
"","Mehˬ tsahˬ htiˬ hmˬ-ahˇ ghawˬ myahˇ ni tsahˬ htaˬ naˇ mehˬ tsahˬ laꞈ qhoeˇ aˇ mawˇ qhoeˇ deuˬ dehꞈ laˇ huiˬ laˇ nya-eu meh.",,
"","Mehˬ tsahˬ htiˬ hmˬ-ahˇ htiˬ nah taꞈ-ehˇ aˇ dzehˬ htaˬ geuꞈ. Ui cuiˆ jeˇ laˇ-euˬ loꞈ-ehˇ duˇ naˇ biˬ dzeh-awˬ.",,
"","Ghawˬ nyoeˇ khuˬ dzaˬ-eu khuˬ tcaꞈ ma zmˬ-awˬ.",,
"","Zaˬ",,
"","Aˬ da",,
"","Aˬ ma",,
"","Yawˬ ghaˬ na luꞈ yawˬ ha-euˬ phaˇ jeh yawˬ ha geuꞈ-awˬ.",,
"","Dzaˇ, qhmˬ maˬ khuˬ tcaꞈ, iˇ cuꞈ qhmˬ ma hawˇ-eu phaˇ jeh aˬ chawˬ nehˬ-ehˇ htaˬ geuꞈ taꞈ.",,
"","Laꞈ tcuiꞈ neh nawˬ-euˬ myaˆ phyawˬ-ahˇ htiˬ joˆ-iˇ maˬ laˆ tuˆ nya-a.",,
"","Gheh nya naˇ laˇ ghoˆ phah ngeh, laꞈ tcuiꞈ (maˬ) baꞈ phu neh phah-awˬ.",,
"","Iˇ khahˇ",,
"","laꞈ nyiˇ doˆ-iˇ-awˇ ghoꞈ laˇ ngeh",,
"","Dzaˇ maˬ dzaˬ mi naꞈ-ehˇ",,
"","Yawˬ jawˇ na luꞈ saˇ byaˬ neh aˬ laꞈ dzuiꞈ-awˬ.",,
"","Aˇ saˬ saˬ ngeh,",,
"","Yawˬ ghaˬ na luꞈ yahˇ-awˇ jawˇ-awˬ.",,
"","",,
"Sobre el Coronavirus                                                                                       Sobre el Coronavirus        ","Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ    Koˬ roˬ naˬ vaiˇ rasˆ gaˇ kawˆ-ahˇ taꞈ leˇ-awˇ ghoˆ shaw htaˬ phaˬ-ehˇ gheh-eu meh. Nyawˬ-iˇ-eu Qhaˬ meh Naˇ mehˇ Myaˆ nuiˆ Ghawˇ mawˇ laꞈ qhoeˇ heu gaˇ neh uˇ-iˇ-eu meh. Jawˇ saˇ doˆ -eu tsawˇ haˬ Naˇ-eu tsawˇ haˬ Aˇ dzuiꞈ heu deuˬ qhaˇ iˇ keuˆ gaˇ naˇ gawˇ nyawˬ-iˇ-eu meh. Tsawˇ haˬ nyiˬ ghaˬ yaw khaˬ htiˬ lmˇ dzehˬ ni khaˬ gaˇ jawˇ-eu-aˬ, aˇ dzuiꞈ deuˬ maˬ bi teuˆ shehˬ laˇ ni yahˇ nya meh. 1 Htiˬ lmˇ dzehˬ ni Haˇ cheuˬ.... Qhoeˇ miˇ neh uˬ tsoeˬ tsoeˬ-eu, haˇ cheuˬ cheuˬ-eu, naˇ-eu tsawˇ haˬ deuˬ mawˇ naˇ Aˬ yawꞈ maꞈ-ahˇ mehˬ tsahˬ biꞈ nehˬ-awˬ. Qhoeˇ laꞈ qhoeˇ aˬ yawꞈ maꞈ uˬ tsoeˬ tsoeˬ, haˇ cheuˬ cheuˬ-eu laꞈ qhoeˇ dawˬ pheh jawˇ-eu tsawˇ haˬ deuˬ-ahˇ maˬ bi nyawˬ-iˇ ni yahˇ nya meh. 2 Guiˬ lahˬ huiˬ miˇ-a.  Maˬ ngeuˇ naˇ Aˬ yawꞈ maˬ naˇ luꞈ qawꞈ naˇ gawˇ aˬ yawꞈ-ahˇ maˬ bi nyawˬ laˇ phaˬ-ehˇ yahˇ-eu phaˬ lawˇ. Naˇ gawˇ aˇ mawˇ uˇ luꞈ qawꞈ naˇ gawˇ aˇ ghehˇ maˬ ya mawˇ ni pyeuꞈ nya meh. Ehˇ qawꞈ naˇ gawˇ qhoeˇ aˬ chawˬ-ahˇ phaˇ nyawˬ-iˇ nya meh. Yehˬ chehˬ chehˬ-awˇ ya ehˇ leꞈ naˇ, tsawˇ haˬ aˇ maꞈ jawˇ gaˇ maˬ iˇ ni yahˇ-awˬ. Aˬ jeˬ miˇ neh ehˇ naˇ aˬ geu ghaˬ naˇ luꞈ-eu aˬ dui maˬ siˬ nya-a.   Yu daˇ Jawˇ saˇ doˆ-eu tsawˇ haˬ Miˬ dzaˬ laˆ lawˬ-ahˇ tcoꞈ-eu aˇ caˆ Daˇ dzm daˆ leˆ-eu naˬ baꞈ htoeˬ duˬ Siˆ-eu seuˬ ghaˬ (tiˇ shuˇ) Iˇ cuꞈ qhmˬ maˬ Caˆ kheu kha deuˬ Mehˬ tsahˬ laꞈ nyiˇ phaw Daˇ dzm aˬ laꞈ nyehꞈ htehˬ duˬ Maoˆ(s) Sahˬ duˇ Laˇ ghoˆ phah duˬ Aˬ laꞈ Ehˇ qawꞈ naˇ-eu tsawˇ haˬ htiˬ ghaˬ-euˬ duˬ qhaˬ mˇ myawˬ nui deuˬ-ahˇ lehꞈ-iˇ nya-eu meh. Naw maꞈ yawˬ ghaˬ na luꞈ naˇ gawˇ nyawˬ leˇ nya meh. (maˬ) nawˇ gaˬ-eu ghaˬ-euˬ myaˆ phyawˬ-ahˇ htoeˬ naˇ Myaˆ nuiˇ-ahˇ jeˬ-eu Mˇ myawˬ qhoeˇ deuˬ-ahˇ maˬ yehꞈ maˇ yehꞈ-ehˇ htoeˬ tuˆ-awˇ nawˬ-euˬ myaˆ phyawˬ-ahˇ phaˇ htoeˬ naˇ Qhoeˇ miˇ neh naˇ gawˇ aˇ mawˇ qhoeˇ deuˬ-ahˇ laˆ sehꞈ nya ni ghaˇ duˬ saˇ byaˬ neh yaw muiˬ-ehˇ tsiˬ shawˇ-awˬ. (maˬ) Aˬ yehˆ pyaˬ ahˇ-eu tsiˬ shawˇ-eu jeˬ neh tsiˬ shawˇ-awˬ. Naˇ gawˇ aˇ mawˇ heu, mˇ myawˬ deuˬ laꞈ qhoeˇ aˇ yamˬ ghawˬ myahˇ ni dehꞈ nya meh. Saˇ byaˬ  Naˇ gawˇ maˬ bi pyeuꞈ laˇ ni loꞈ qhmˬ-eu Gaˇ kawˆ heu 5 jeˬ-ahˇ siˬ nya-awˇ chaw hteh phaˬ-ehˇ gheh-eu meh. saˇ byaˬ neh heu gaˇ keuˆ ni dzuiꞈ-awˬ. saˇ byaˬ Laꞈ tcuiꞈ Myaˆ phyawˬ-ahˇ htaˬ htoeˬ ciˆ. Maˬ gheh nya-ehˇ ya htoeˬ ciˆ law naˇ, saˇ byaˬ neh jeˬ hu aˬ laꞈ yawˬ muiˬ phaˬ-ehˇ dzuiꞈ-awˬ. "Happy birthday" dawˬ chaˇ nyiˬ poˆ chaˇ saˬ nya-eu aˇ yamˬ Laꞈ sahˬ laꞈ oˆ 20 pheu Laꞈ noeˇ laꞈ khaˬ  "Yaw muiˬ phaˬ-ehˇ dzuiꞈ-eu" lehˇ ehˇ-eu aˬ jeˬ-ahˇ ehˇ hta. Phaˇ htoeˬ tuˆ law hawˇ-euˬ qawꞈ qhahˬ htaˬ lahˇ. Htoeˬ ciˆ ghaˬ-euˬ nehˬ-ehˇ aˬ laꞈ-ahˇ saˇ byaˬ neh yaw muiˬ-ehˇ dzuiꞈ shawˇ-awˬ. Gheh nya naˇ mehˬ tsahˬ laꞈ nyiˇ phaw jiˇ htaˬ htoeˬ tuˆ. Aˇ dzuiꞈ deuˬ Mehˬ tsahˬ htiˬ hmˬ-ahˇ ghawˬ myahˇ ni tsahˬ htaˬ naˇ mehˬ tsahˬ laꞈ qhoeˇ aˇ mawˇ qhoeˇ deuˬ dehꞈ laˇ huiˬ laˇ nya-eu meh. Mehˬ tsahˬ htiˬ hmˬ-ahˇ htiˬ nah taꞈ-ehˇ aˇ dzehˬ htaˬ geuꞈ. Ui cuiˆ jeˇ laˇ-euˬ loꞈ-ehˇ duˇ naˇ biˬ dzeh-awˬ. Ghawˬ nyoeˇ khuˬ dzaˬ-eu khuˬ tcaꞈ ma zmˬ-awˬ. Zaˬ Aˬ da Aˬ ma Yawˬ ghaˬ na luꞈ yawˬ ha-euˬ phaˇ jeh yawˬ ha geuꞈ-awˬ. Dzaˇ, qhmˬ maˬ khuˬ tcaꞈ, iˇ cuꞈ qhmˬ ma hawˇ-eu phaˇ jeh aˬ chawˬ nehˬ-ehˇ htaˬ geuꞈ taꞈ. Laꞈ tcuiꞈ neh nawˬ-euˬ myaˆ phyawˬ-ahˇ htiˬ joˆ-iˇ maˬ laˆ tuˆ nya-a. Gheh nya naˇ laˇ ghoˆ phah ngeh, laꞈ tcuiꞈ (maˬ) baꞈ phu neh phah-awˬ. Iˇ khahˇ laꞈ nyiˇ doˆ-iˇ-awˇ ghoꞈ laˇ ngeh Dzaˇ maˬ dzaˬ mi naꞈ-ehˇ Yawˬ jawˇ na luꞈ saˇ byaˬ neh aˬ laꞈ dzuiꞈ-awˬ. Aˇ saˬ saˬ ngeh, saˇ byaˬ Yawˬ ghaˬ na luꞈ yahˇ-awˇ jawˇ-awˬ. Yawˬ ghaˬ na luꞈ yahˇ-awˇ jawˇ-awˬ. saˇ byaˬ       Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ        ",,
